F1,F2,F3,F4,F5,F6,F7,F8,label
227.0,4.726872246696035,0.34801762114537443,0.19823788546255505,1.7797356828193833,0.6607929515418502,1.08,0.0,0
54.0,4.7592592592592595,0.3333333333333333,0.2222222222222222,1.6666666666666667,0.7777777777777778,0.86,0.0,0
51.0,5.235294117647059,0.4117647058823529,0.11764705882352941,1.803921568627451,0.7647058823529411,0.76,0.0,0
34.0,5.0,0.47058823529411764,0.08823529411764706,1.6764705882352942,0.7941176470588235,0.6764705882352942,1.0,0
241.0,4.954356846473029,0.5560165975103735,0.13692946058091288,1.5435684647302905,0.7261410788381742,0.88,0.0,0
259.0,4.625482625482626,0.4826254826254826,0.1583011583011583,1.4633204633204633,0.7374517374517374,0.84,0.0,0
281.0,5.398576512455516,0.5409252669039146,0.15302491103202848,1.7153024911032029,0.7651245551601423,0.76,0.0,0
33.0,4.787878787878788,0.5151515151515151,0.15151515151515152,1.5454545454545454,0.7878787878787878,0.9393939393939394,0.0,0
24.0,5.083333333333333,0.5833333333333334,0.08333333333333333,1.625,0.9166666666666666,0.5833333333333334,0.0,0
43.0,5.209302325581396,0.6046511627906976,0.046511627906976744,1.8837209302325582,0.7674418604651163,0.8372093023255814,0.0,0
44.0,5.090909090909091,0.6136363636363636,0.09090909090909091,1.75,0.8863636363636364,0.7272727272727273,0.0,0
311.0,4.459807073954984,0.5916398713826366,0.1382636655948553,1.572347266881029,0.7717041800643086,0.72,0.0,0
38.0,5.026315789473684,0.5263157894736842,0.13157894736842105,1.6842105263157894,0.9473684210526315,0.8421052631578947,0.0,0
30.0,4.966666666666667,0.5333333333333333,0.1,1.7333333333333334,0.9333333333333333,0.6,0.0,0
65.0,4.6461538461538465,0.5692307692307692,0.12307692307692308,1.4923076923076923,0.8307692307692308,1.32,0.0,0
27.0,4.814814814814815,0.5925925925925926,0.2222222222222222,1.4444444444444444,0.8888888888888888,0.8518518518518519,0.0,0
34.0,4.5588235294117645,0.47058823529411764,0.14705882352941177,1.5294117647058822,0.8529411764705882,1.1764705882352942,0.0,0
31.0,5.032258064516129,0.5483870967741935,0.22580645161290322,1.8064516129032258,0.8387096774193549,1.1290322580645162,0.0,0
35.0,4.685714285714286,0.42857142857142855,0.17142857142857143,1.6857142857142857,0.8857142857142857,0.7428571428571429,1.0,0
34.0,4.529411764705882,0.5588235294117647,0.11764705882352941,1.6176470588235294,0.9117647058823529,0.4117647058823529,0.0,0
257.0,5.159533073929961,0.5019455252918288,0.1556420233463035,1.9105058365758756,0.708171206225681,0.9,0.0,0
306.0,4.898692810457517,0.41830065359477125,0.18627450980392157,1.630718954248366,0.696078431372549,1.12,0.0,0
189.0,5.042328042328043,0.48148148148148145,0.08465608465608465,1.5026455026455026,0.6772486772486772,0.6,0.0,0
388.0,5.221649484536083,0.45103092783505155,0.12371134020618557,1.6417525773195876,0.6005154639175257,0.7,0.0,0
447.0,4.409395973154362,0.38478747203579416,0.09395973154362416,1.487695749440716,0.5704697986577181,0.6,0.0,0
119.0,4.361344537815126,0.5042016806722689,0.14285714285714285,1.4285714285714286,0.6386554621848739,0.66,0.0,0
201.0,4.72636815920398,0.42786069651741293,0.15920398009950248,1.6069651741293531,0.746268656716418,0.88,0.0,0
84.0,5.476190476190476,0.6547619047619048,0.08333333333333333,1.8452380952380953,0.8452380952380952,0.94,0.0,0
213.0,5.042253521126761,0.5164319248826291,0.14084507042253522,1.5868544600938967,0.7136150234741784,0.68,0.0,0
35.0,4.542857142857143,0.5428571428571428,0.05714285714285714,1.4,0.7714285714285715,0.6857142857142857,0.0,0
165.0,4.6,0.36363636363636365,0.12121212121212122,1.6545454545454545,0.7272727272727273,0.66,0.0,0
33.0,4.96969696969697,0.6060606060606061,0.09090909090909091,1.6363636363636365,0.8787878787878788,0.8181818181818182,0.0,0
38.0,4.526315789473684,0.5263157894736842,0.21052631578947367,1.394736842105263,0.8421052631578947,0.7368421052631579,0.0,0
206.0,4.723300970873787,0.47572815533980584,0.17475728155339806,1.4805825242718447,0.7281553398058253,1.02,0.0,0
264.0,4.4356060606060606,0.38636363636363635,0.20833333333333334,1.5340909090909092,0.5757575757575758,0.84,1.0,0
406.0,4.738916256157635,0.5221674876847291,0.1748768472906404,1.5541871921182266,0.6674876847290641,0.68,0.0,0
21.0,4.761904761904762,0.7619047619047619,0.09523809523809523,1.2857142857142858,0.8095238095238095,0.5238095238095238,0.0,0
460.0,5.086956521739131,0.48695652173913045,0.17391304347826086,1.6543478260869566,0.717391304347826,0.62,0.0,0
33.0,5.0606060606060606,0.5454545454545454,0.09090909090909091,1.5454545454545454,0.8484848484848485,0.9090909090909091,0.0,0
9.0,4.222222222222222,0.3333333333333333,0.2222222222222222,1.1111111111111112,1.0,0.1111111111111111,0.0,0
93.0,5.182795698924731,0.5698924731182796,0.15053763440860216,1.6666666666666667,0.7956989247311828,0.94,0.0,0
57.0,5.157894736842105,0.3684210526315789,0.15789473684210525,1.7017543859649122,0.8947368421052632,0.9,0.0,0
67.0,5.059701492537314,0.43283582089552236,0.11940298507462686,1.7313432835820894,0.8805970149253731,0.76,0.0,0
64.0,5.03125,0.34375,0.1875,1.65625,0.8125,1.02,0.0,0
398.0,4.685929648241206,0.32914572864321606,0.2135678391959799,1.5376884422110553,0.5603015075376885,0.86,0.0,0
326.0,5.119631901840491,0.5306748466257669,0.17484662576687116,1.6411042944785277,0.6748466257668712,0.76,0.0,0
97.0,4.56701030927835,0.4639175257731959,0.14432989690721648,1.4845360824742269,0.7216494845360825,0.86,0.0,0
16.0,4.375,0.4375,0.0,1.25,1.0,0.375,1.0,0
111.0,4.378378378378378,0.46846846846846846,0.12612612612612611,1.2972972972972974,0.8108108108108109,0.68,0.0,0
137.0,4.591240875912408,0.44525547445255476,0.31386861313868614,1.5912408759124088,0.6861313868613139,0.9,1.0,0
353.0,5.237960339943343,0.5410764872521246,0.1558073654390935,1.575070821529745,0.6713881019830028,0.48,0.0,0
39.0,5.205128205128205,0.358974358974359,0.20512820512820512,1.5897435897435896,0.7435897435897436,0.8205128205128205,0.0,0
478.0,4.596234309623431,0.5355648535564853,0.16108786610878661,1.4769874476987448,0.6757322175732218,0.72,0.0,0
338.0,4.798816568047338,0.4881656804733728,0.14792899408284024,1.6597633136094674,0.6183431952662722,0.88,0.0,0
332.0,4.587349397590361,0.5512048192771084,0.11144578313253012,1.4909638554216869,0.7228915662650602,1.02,0.0,0
163.0,4.668711656441718,0.5766871165644172,0.15337423312883436,1.5153374233128833,0.7239263803680982,0.6,0.0,0
298.0,4.62751677852349,0.49328859060402686,0.15771812080536912,1.4697986577181208,0.7046979865771812,1.04,0.0,0
101.0,4.158415841584159,0.4158415841584158,0.15841584158415842,1.2574257425742574,0.7029702970297029,0.7,0.0,0
240.0,4.608333333333333,0.4791666666666667,0.17083333333333334,1.5,0.6625,0.74,0.0,0
359.0,4.579387186629527,0.5013927576601671,0.17270194986072424,1.4846796657381616,0.6824512534818942,0.94,0.0,0
422.0,4.476303317535545,0.509478672985782,0.15639810426540285,1.509478672985782,0.566350710900474,0.66,0.0,0
396.0,4.626262626262626,0.45707070707070707,0.16414141414141414,1.5126262626262625,0.6388888888888888,0.82,0.0,0
402.0,4.527363184079602,0.5373134328358209,0.17412935323383086,1.4825870646766168,0.6865671641791045,0.98,0.0,0
